id,สถานภาพ,วิธีรับเข้า,วุฒิ,คะแนนเฉลี่ยก่อนรับเข้า,จบการศึกษาจาก,หน่วยกิตที่ลงทะเบียน,หน่วยกิตที่ผ่าน,หน่วยกิตของหลักสูตร,คะแนนเฉลี่ยสะสม,GPA 2559/1,GPA 2559/2,GPA 2560/1,GPA 2560/2,GPA 2560/3,GPA 2561/1,GPA 2561/2,GPA 2561/3,GPA 2562/1,GPA 2562/2,GPA 2562/3,GPA 2563/1,GPA 2563/2,GPA 2563/3,GPA 2564/1,GPA 2564/2,GPA 2564/3,GPA 2565/1,GPA 2565/2,GPA 2565/3,GPA 2566/1,GPA 2566/2,GPA 2567/1,GPA 2567/2,GPA 2567/3,GPA 2568/1
17,ลาออก,สอบคัดเลือก-สมัครผ่าน สกอ.,มัธยมศึกษาตอนปลาย (ม.6),3.47,โรงเรียนวัดนวลนรดิศ,49,40,137,2.95,0,0,2.34,2.37,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ถอนชื่อเนื่องจากนักศึกษาใหม่ไม่มาเรียนตั้งแต่เปิดภาคเรียน,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),2.85,โรงเรียนพระโขนงพิทยาลัย,19,0,137,0,0,0,0,0,0,3.38,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,สำเร็จการศึกษา,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),2.81,โรงเรียนพระแม่มารี,137,137,137,2.37,0,0,3.05,3.11,0,3.08,3.1,0,3.01,2.98,0,3.02,3.04,3.04,0,3.04,0,0,0,0,0,0,0,0,0,0
20,สำเร็จการศึกษา,โควตา-เรียนดี,ปวช.,3.34,วิทยาลัยเทคโนโลยีปทีปพลีผล,140,137,137,2.25,0,0,2.55,2.31,0,2.61,2.62,0,2.64,2.71,0,2.76,2.79,2.79,0,2.78,0,0,0,0,0,0,0,0,0,0
21,สำเร็จการศึกษา,โควตา-เรียนดี,มัธยมศึกษาตอนปลาย (ม.6),3.16,โรงเรียนกรุงเทพคริสเตียนวิทยาลัย,137,137,137,3.06,0,0,1.84,1.82,0,2.17,2.16,0,2.29,2.48,0,2.58,2.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
22,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.53,โรงเรียนเจ้าพระยาวิทยาคม,137,137,137,2.17,0,0,2,1.87,0,2.23,2.26,0,2.32,2.51,0,2.59,2.68,2.68,0,0,0,0,0,0,0,0,0,0,0,0
23,พ้นสภาพนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.59,โรงเรียนสิริรัตนาธร,37,16,137,0.72,0,0,2.69,3.03,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ถอนชื่อออกจากทะเบียนนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.52,โรงเรียนเจ้าพระยาวิทยาคม,58,58,137,1.72,0,0,0,0,0,3.8,3.68,0,3.56,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.58,โรงเรียนนารีวิทยา,140,137,137,2.89,0,0,2.08,2.18,0,2.46,2.43,0,2.34,2.61,0,2.72,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0
26,ถอนชื่อออกจากทะเบียนนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.58,โรงเรียนราชดำริ,55,40,137,1.81,0,0,1.54,0,0,0,0,0,0,2.39,0,2.56,2.64,2.64,0,0,0,0,0,0,0,0,0,0,0,0
27,ถอนชื่อออกจากทะเบียนนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.43,โรงเรียนราชประชาสมาสัย ฝ่ายมัธยม รัชดาภิเษก ในพระบรมราชูปถัมภ์,64,55,137,1.91,0,0,3.05,2.99,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวช.,2.97,วิทยาลัยเทคโนโลยีสายประสิทธิ์บริหารธุรกิจ,137,137,137,2.84,0,0,2.58,2.74,0,2.7,2.74,0,2.81,2.88,0,2.89,2.9,2.9,2.92,0,0,0,0,0,0,0,0,0,0,0
29,พ้นสภาพนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.63,โรงเรียนเจ้าพระยาวิทยาคม,34,16,137,0.69,0,0,0,2.5,0,2.5,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
